------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 45088 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58955)
[ ID] Interval       Transfer     Bandwidth
[  1] 101.5000-102.0000 sec  8.08 MBytes   136 Mbits/sec
[  1] 102.0000-102.5000 sec  7.33 MBytes   123 Mbits/sec
[  1] 102.5000-103.0000 sec  8.27 MBytes   139 Mbits/sec
[  1] 103.0000-103.5000 sec  4.54 MBytes  76.1 Mbits/sec
[  1] 103.5000-104.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 104.0000-104.5000 sec  8.64 MBytes   145 Mbits/sec
[  1] 104.5000-105.0000 sec  7.77 MBytes   130 Mbits/sec
[  1] 105.0000-105.5000 sec  7.08 MBytes   119 Mbits/sec
[  1] 105.5000-106.0000 sec  8.77 MBytes   147 Mbits/sec
[  1] 106.0000-106.5000 sec  4.41 MBytes  74.0 Mbits/sec
[  1] 106.5000-107.0000 sec  7.08 MBytes   119 Mbits/sec
[  1] 107.0000-107.5000 sec  8.83 MBytes   148 Mbits/sec
[  1] 107.5000-108.0000 sec  7.89 MBytes   132 Mbits/sec
[  1] 108.0000-108.5000 sec  3.60 MBytes  60.5 Mbits/sec
[  1] 108.5000-109.0000 sec  8.08 MBytes   136 Mbits/sec
[  1] 109.0000-109.5000 sec  7.58 MBytes   127 Mbits/sec
[  1] 109.5000-110.0000 sec  7.40 MBytes   124 Mbits/sec
[  1] 110.0000-110.5000 sec  7.52 MBytes   126 Mbits/sec
[  1] 110.5000-111.0000 sec  7.39 MBytes   124 Mbits/sec
[  1] 111.0000-111.5000 sec  3.54 MBytes  59.4 Mbits/sec
[  1] 111.5000-112.0000 sec  8.21 MBytes   138 Mbits/sec
[  1] 112.0000-112.5000 sec  6.58 MBytes   110 Mbits/sec
[  1] 112.5000-113.0000 sec  7.89 MBytes   132 Mbits/sec
[  1] 113.0000-113.5000 sec  8.14 MBytes   137 Mbits/sec
[  1] 113.5000-114.0000 sec  6.21 MBytes   104 Mbits/sec
[  1] 114.0000-114.5000 sec  5.15 MBytes  86.4 Mbits/sec
[  1] 114.5000-115.0000 sec   438 KBytes  7.18 Mbits/sec
[  1] 115.0000-115.5000 sec  12.2 MBytes   205 Mbits/sec
[  1] 115.5000-116.0000 sec  9.32 MBytes   156 Mbits/sec
[  1] 116.0000-116.5000 sec  8.88 MBytes   149 Mbits/sec
[  1] 116.5000-117.0000 sec  4.60 MBytes  77.2 Mbits/sec
[  1] 117.0000-117.5000 sec  10.3 MBytes   172 Mbits/sec
[  1] 117.5000-118.0000 sec  10.1 MBytes   170 Mbits/sec
[  1] 118.0000-118.5000 sec  9.00 MBytes   151 Mbits/sec
[  1] 118.5000-119.0000 sec  9.70 MBytes   163 Mbits/sec
[  1] 119.0000-119.5000 sec  5.35 MBytes  89.7 Mbits/sec
[  1] 119.5000-120.0000 sec  9.01 MBytes   151 Mbits/sec
[  1] 120.0000-120.7152 sec  32.8 KBytes   376 Kbits/sec
[  1] 0.0000-120.7152 sec  1.60 GBytes   114 Mbits/sec
