------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 53642 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/66566)
[ ID] Interval       Transfer     Bandwidth
[  1] 94.5000-95.0000 sec  9.63 MBytes   162 Mbits/sec
[  1] 95.0000-95.5000 sec  9.45 MBytes   159 Mbits/sec
[  1] 95.5000-96.0000 sec  9.07 MBytes   152 Mbits/sec
[  1] 96.0000-96.5000 sec  4.72 MBytes  79.2 Mbits/sec
[  1] 96.5000-97.0000 sec  10.0 MBytes   168 Mbits/sec
[  1] 97.0000-97.5000 sec  10.4 MBytes   175 Mbits/sec
[  1] 97.5000-98.0000 sec  9.81 MBytes   165 Mbits/sec
[  1] 98.0000-98.5000 sec  9.45 MBytes   158 Mbits/sec
[  1] 98.5000-99.0000 sec  6.26 MBytes   105 Mbits/sec
[  1] 99.0000-99.5000 sec  6.54 MBytes   110 Mbits/sec
[  1] 99.5000-100.0000 sec  6.76 MBytes   113 Mbits/sec
[  1] 100.0000-100.5000 sec  5.55 MBytes  93.1 Mbits/sec
[  1] 100.5000-101.0000 sec  5.14 MBytes  86.3 Mbits/sec
[  1] 101.0000-101.5000 sec  8.27 MBytes   139 Mbits/sec
[  1] 101.5000-102.0000 sec  9.26 MBytes   155 Mbits/sec
[  1] 102.0000-102.5000 sec  8.76 MBytes   147 Mbits/sec
[  1] 102.5000-103.0000 sec  7.77 MBytes   130 Mbits/sec
[  1] 103.0000-103.5000 sec  4.91 MBytes  82.5 Mbits/sec
[  1] 103.5000-104.0000 sec  7.51 MBytes   126 Mbits/sec
[  1] 104.0000-104.5000 sec  7.27 MBytes   122 Mbits/sec
[  1] 104.5000-105.0000 sec  9.45 MBytes   159 Mbits/sec
[  1] 105.0000-105.5000 sec  8.64 MBytes   145 Mbits/sec
[  1] 105.5000-106.0000 sec  5.04 MBytes  84.5 Mbits/sec
[  1] 106.0000-106.5000 sec  8.51 MBytes   143 Mbits/sec
[  1] 106.5000-107.0000 sec  9.44 MBytes   158 Mbits/sec
[  1] 107.0000-107.5000 sec  8.08 MBytes   135 Mbits/sec
[  1] 107.5000-108.0000 sec  8.64 MBytes   145 Mbits/sec
[  1] 108.0000-108.5000 sec  4.54 MBytes  76.1 Mbits/sec
[  1] 108.5000-109.0000 sec  8.33 MBytes   140 Mbits/sec
[  1] 109.0000-109.5000 sec  8.57 MBytes   144 Mbits/sec
[  1] 109.5000-110.0000 sec  6.83 MBytes   115 Mbits/sec
[  1] 110.0000-110.5000 sec  5.86 MBytes  98.3 Mbits/sec
[  1] 110.5000-111.0000 sec  5.57 MBytes  93.5 Mbits/sec
[  1] 111.0000-111.5000 sec  3.74 MBytes  62.7 Mbits/sec
[  1] 111.5000-112.0000 sec  6.51 MBytes   109 Mbits/sec
[  1] 112.0000-112.5000 sec  7.78 MBytes   130 Mbits/sec
[  1] 112.5000-113.0000 sec  7.09 MBytes   119 Mbits/sec
[  1] 113.0000-113.5000 sec  7.14 MBytes   120 Mbits/sec
[  1] 113.5000-114.0000 sec  6.95 MBytes   117 Mbits/sec
[  1] 114.0000-114.5000 sec  4.98 MBytes  83.6 Mbits/sec
[  1] 114.5000-115.0000 sec  6.64 MBytes   111 Mbits/sec
[  1] 115.0000-115.5000 sec  6.64 MBytes   111 Mbits/sec
[  1] 115.5000-116.0000 sec  7.58 MBytes   127 Mbits/sec
[  1] 116.0000-116.5000 sec  3.16 MBytes  53.0 Mbits/sec
[  1] 116.5000-117.0000 sec  8.09 MBytes   136 Mbits/sec
[  1] 117.0000-117.5000 sec  3.60 MBytes  60.3 Mbits/sec
[  1] 117.5000-118.0000 sec  10.3 MBytes   173 Mbits/sec
[  1] 118.0000-118.5000 sec  5.39 MBytes  90.5 Mbits/sec
[  1] 118.5000-119.0000 sec  5.47 MBytes  91.8 Mbits/sec
[  1] 119.0000-119.5000 sec  3.42 MBytes  57.4 Mbits/sec
[  1] 119.5000-120.0000 sec  6.77 MBytes   114 Mbits/sec
[  1] 120.0000-121.0240 sec   107 KBytes   860 Kbits/sec
[  1] 0.0000-121.0240 sec  1.50 GBytes   106 Mbits/sec
