------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.3 port 56020 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58662)
[ ID] Interval       Transfer     Bandwidth
[  1] 102.0000-102.5000 sec  3.42 MBytes  57.3 Mbits/sec
[  1] 102.5000-103.0000 sec  8.14 MBytes   137 Mbits/sec
[  1] 103.0000-103.5000 sec  8.76 MBytes   147 Mbits/sec
[  1] 103.5000-104.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 104.0000-104.5000 sec  8.51 MBytes   143 Mbits/sec
[  1] 104.5000-105.0000 sec  4.23 MBytes  70.9 Mbits/sec
[  1] 105.0000-105.5000 sec  7.89 MBytes   132 Mbits/sec
[  1] 105.5000-106.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 106.0000-106.5000 sec  8.70 MBytes   146 Mbits/sec
[  1] 106.5000-107.0000 sec  7.15 MBytes   120 Mbits/sec
[  1] 107.0000-107.5000 sec  8.39 MBytes   141 Mbits/sec
[  1] 107.5000-108.0000 sec  4.35 MBytes  73.0 Mbits/sec
[  1] 108.0000-108.5000 sec  6.71 MBytes   113 Mbits/sec
[  1] 108.5000-109.0000 sec  7.71 MBytes   129 Mbits/sec
[  1] 109.0000-109.5000 sec  7.33 MBytes   123 Mbits/sec
[  1] 109.5000-110.0000 sec  7.21 MBytes   121 Mbits/sec
[  1] 110.0000-110.5000 sec  7.83 MBytes   131 Mbits/sec
[  1] 110.5000-111.0000 sec  7.89 MBytes   132 Mbits/sec
[  1] 111.0000-111.5000 sec  3.42 MBytes  57.3 Mbits/sec
[  1] 111.5000-112.0000 sec  8.58 MBytes   144 Mbits/sec
[  1] 112.0000-112.5000 sec  7.39 MBytes   124 Mbits/sec
[  1] 112.5000-113.0000 sec  8.26 MBytes   139 Mbits/sec
[  1] 113.0000-113.5000 sec  4.54 MBytes  76.1 Mbits/sec
[  1] 113.5000-114.0000 sec  6.96 MBytes   117 Mbits/sec
[  1] 114.0000-114.5000 sec  6.52 MBytes   109 Mbits/sec
[  1] 114.5000-115.0000 sec   368 KBytes  6.03 Mbits/sec
[  1] 115.0000-115.5000 sec  12.4 MBytes   208 Mbits/sec
[  1] 115.5000-116.0000 sec  6.33 MBytes   106 Mbits/sec
[  1] 116.0000-116.5000 sec  6.46 MBytes   108 Mbits/sec
[  1] 116.5000-117.0000 sec  3.28 MBytes  55.0 Mbits/sec
[  1] 117.0000-117.5000 sec  5.80 MBytes  97.2 Mbits/sec
[  1] 117.5000-118.0000 sec  6.90 MBytes   116 Mbits/sec
[  1] 118.0000-118.5000 sec  6.33 MBytes   106 Mbits/sec
[  1] 118.5000-119.0000 sec  5.59 MBytes  93.8 Mbits/sec
[  1] 119.0000-119.5000 sec  5.84 MBytes  98.0 Mbits/sec
[  1] 119.5000-120.0000 sec  5.78 MBytes  97.0 Mbits/sec
[  1] 120.0000-121.0386 sec  48.2 KBytes   380 Kbits/sec
[  1] 0.0000-121.0386 sec  1.62 GBytes   115 Mbits/sec
